ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży 
490;Buty Nike Air Vibenna "Velvet Brown";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_201_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_201_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
491;Buty Nike T-Lite XI NBK "Black";179.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/616546_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/616546_003_2D_0003.jpg;Buty Męskie;Rozmiary:  45 43, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
492;Buty Nike Zoom Span 2 Shield "Binary Blue";382.49;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_400_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_400_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1
493;Buty Nike SB Zoom Janoski HT "Wolf Grey";322.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_006_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_006_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
494;Buty Nike Zoom Stefan Janoski "Obsidian";305.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/633014_400_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/633014_400_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
495;Buty le coq sportif LCS R100 Mellow Mint x Titolo "Apricot";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/16216773_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/16216773_2D_0003~1.jpg;Buty Męskie;Rozmiary:  41  43 40, Kolor: Pomarańczowy, Sezon: Jesień/Zima;1;200;1
496;Buty Nike Air Max Invigor "Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749680_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749680_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
497;Buty Nike Air Force 1 '07 LV8 "Blue";469.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/823511_404_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/823511_404_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1
498;Buty Polo Ralph Lauren Cordell Sneakers Athletic Shoe "Black";439.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/816664690001_z_nowym_ujeciem_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/816664690001_z_nowym_ujeciem_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
499;Buty Nike MD Runner 2 "Wolf Grey";279.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749794_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749794_001_2D_0003.jpg;Buty Męskie;Rozmiary: 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
500;Buty New Balance Winter Sneaker "Brown";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/HL754BB_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/HL754BB_2D_0003.jpg;Buty Męskie;Rozmiary:  44  45  46.5 41.5, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
501;Buty Nike Air Max Guile Prem "Wheat";499.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_700_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_700_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Żółty, Sezon: Jesień/Zima;1;200;1
502;Buty adidas Munchen "Core Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9790_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9790_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3  47 1/3 41 1/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
503;Buty adidas Gazelle "Navy";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CP9705_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CP9705_2D_0003.jpg;Buty Męskie;Rozmiary:  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
504;Buty adidas Stan Smith "Core Black";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0485_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0485_2D_0003.jpg;Buty Męskie;Rozmiary:  40 2/3  41 1/3  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 40, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
