ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
17;Bluza adidas PDX Hoody "Grey";349.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BS2797_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BS2797_APP_on_model_standard_white~1.jpg;Bluza Męska;Rozmiary:  L  M S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
18;Bluza adidas NMD LG Crew "White";349.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BS2490_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BS2490_APP_on_model_standard_white_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
19;Bluza Le Coq Sportif CotonTech Crew Sweat "Black";229.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1720629_1_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
20;Bluza Le Coq Sportif CotonTech Crew Sweat Marshmallow "White";229.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1720338__1_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1720338__2_.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Odzież męska
21;Bluza adidas Trefoil Crew Sweatshirt "Legend Ink";249.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ7519_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ7519_APP_on_model_standard_white~1.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Odzież męska
22;Bluza adidas Trefoil Hoody "Blue";269.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BR4189_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BR4189_APP_on_model_standard_white~1.jpg;Bluza Męska;Rozmiary:  L  XL M, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Odzież męska
23;Bluza adidas Crewneck Sweatshirt "Black";329.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ1814_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ1814_APP_on_model_standard_white~1.jpg;Bluza Męska;Rozmiary:  L  M  XL  XXL S, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
24;Bluza Champion Hoody "Navy";119.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/2111972192__2_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/2111972192__5_~1.jpg;Bluza Męska;Rozmiary:  L  XL M, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Odzież męska
25;Bluza Nike NSW CRW FLC CLUB "Black";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/804340_010_PHSBH001_3144.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/804340_010_PHSFH001_3144_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  S  XL XS, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
26;Bluza Nike M NSW Hoodie FZ FLC Club "Grey";249.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/804389_071_PHSBH001_3144.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/804389_071_PHSFH001_3144_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
