ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
610;Buty Diadora V7000 NYL II "Blue";479.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170939C7108_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170939C7108_2D_0003.jpg;Buty Damskie;Rozmiary:  38  38.5  39  40 37, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
611;Buty Nike WMNS LD Runner LW Prem "Pure Platinum";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902863_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902863_001_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Buty damskie
612;ButyNike WMNS Tanjun ENG "White";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902865_100_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902865_100_2D_0003.jpg;Buty Damskie;Rozmiary:  38 36.5, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Buty damskie
613;Buty Onitsuka Tiger Grandest "Black";219.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/D3X6L9075_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/D3X6L9075_2D_0003.jpg;Buty Damskie;Rozmiary:  37  37.5  38  39  39.5  40  40.5  43.5 36, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
614;Buty Reebok DMX Lite Katak "Black";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD4500_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD4500_2D_0003.jpg;Buty Damskie;Rozmiary: 38, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
615;Buty adidas Stan Smith Women "Core Black";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0485_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0485_2D_0003~1.jpg;Buty Damskie;Rozmiary:  37 1/3  38  38 2/3  39 1/3  40  40 2/3  41 1/3  42  42 2/3 36 2/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
616;Buty adidas Stan Smith Bold W "Core Black";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CG3775_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CG3775_2D_0003.jpg;Buty Damskie;Rozmiary:  37 1/3  38  38 2/3  39 1/3  40  40 2/3 36 2/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
617;Buty adidas EQT Support RF W "Grey";499.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9107_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9107_2D_0003.jpg;Buty Męskie;Rozmiary:  37 1/3  38 2/3  39 1/3  40 36 2/3, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Buty damskie
618;Buty adidas Stan Smith Bold Mid W "White";499.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9664_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9664_2D_0003.jpg;Buty Damskie;Rozmiary:  37 1/3  38  38 2/3  39 1/3  40  40 2/3 36 2/3, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
619;Buty Carnaby Evo Wedge 317 3 SPW "White";549.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/734SPW0016001_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/734SPW0016001_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40 37, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
